School/Institute,Location,Start date,End date,Application deadline,Topic(s) / Notes,Link,Date added to this list
Georgia Instititute of Technology,"Atlanta, GA",June,July,Feb 17,"Persistent Legendrian contact homology; Experimental approach to some problems arising in Enumerative Combinatorics; Dynamics of vibro-impact system for energy harvesting and targeted energy transfer; Statistical problems for Latin squares; Homotopy continuation, monodromy, and applications; Lattices, and Rational Homology 4-balls","https://math.gatech.edu/undergraduate-research
https://www.mathprograms.org/db/programs/1441",2022/10/31
UCLA,"Los Angeles, CA",Jun 20,Aug 11,Feb 17,"Applied Math REU
AI with community partners; Gang reduction; Knowledge graphs; Pardicle laden flow; Machine learning and nonlinear dynamics; Perdictors of gun violence","https://www.math.ucla.edu/~bertozzi/WORKFORCE/REU2023Topics.html
https://www.mathprograms.org/db/programs/1434",2023/1/13
Institute for Mathematical and Statistical Innovation,"Chicago, IL",Jun 12,Aug 4,Feb 17,"Summer Undergraduate Mathematics and Statistics Accelerator (SUMSA)
The primary focus of this bootcamp is basic coursework to help prepare students for the rigors of graduate school; in particular, the program is not an REU, which tends to be more project-oriented.",https://www.imsi.institute/activities/sumsa-2023/,2023/1/12
Boston University,"Boston, MA",Jun 12,Jul 14,Feb 17,Summer Institute in Biostatistics and Data Science (SIBS),https://www.bu.edu/sph/about/departments/biostatistics/summer-institute-for-training-in-biostatistics/,2023/2/4
BioXFEL,Varies,May 30,Aug 4,Feb 17,Biological molecules using X-ray Free Electron Lasers,https://www.bioxfel.org/education/undergraduate-internships,2022/10/31
Washington University in St Louis,"St Louis, MO",May 30,Aug 4,Feb 17,Computer science; several projects with a focus on machine learning,https://sites.wustl.edu/csereu/,2023/1/7
Worcester Polytechnic Institute,"Worcester, MA",May 28,Jul 28,Feb 17,Research Experiences for Undergraduates in Industrial Mathematics and Statistics,"https://labs.wpi.edu/CIMS/initiatives/REU/
https://www.mathprograms.org/db/programs/1370",2022/10/31
Texas A&M,"College Station, TX",Jun 5,Jul 28,Feb 19,Algebraic Methods in Computational Biology; Algorithmic Algebraic Geometry; Number Theory; Probability and Algebra,https://www.math.tamu.edu/ugs/research/REU/,2022/11/9
University of Michigan-Dearborn,"Dearborn, MI",May 22,Jul 14,Feb 19,Spectral theory and CR geometry; Eigenvalues of Markov matrix of the asymmetric simple exclusion process; Mathematical muis theory: balanced uniform chord transformations; Value distribution of elliptic Dedekind sums; Phase retrieval with applications to optical microscopy,https://sites.google.com/a/umich.edu/math-reu/,2022/11/9
Johns Hopkins University,"Baltimore, MD",May 30,Aug 5,Feb 19,Computational Sensing and Medical Robotics,"https://lcsr.jhu.edu/reu/
https://academicjobsonline.org/ajo/jobs/23963",2023/1/12
UC Davis,"Davis, CA",Jun 20,Aug 11,Feb 19,"Matroid theory and optimization; Stability of quantum spectra, dynamics, and circuits","https://reu.math.ucdavis.edu/
https://www.mathprograms.org/db/programs/1410",2022/12/13
University of Connecticut,"Storrs, CT",May 29,Aug 5,Feb 20,,"https://mathreu.uconn.edu/
https://www.nsfetap.org/award/171/opportunity/586",2023/1/17
University of Maryland,"College Park, MD",Jun 12,Aug 4,Feb 20,"""Modern topics in pure and applied mathematics"": Cluster algebras and polylogarithm relations; Geometric measure theory in optimal transport, geometric flows, and minimal surfaces; Data-driven methods and model reduction for the study of rare events in stochastic systems","https://www.math.umd.edu/~mariakc/REU.html
https://www-math.umd.edu/outreach/summer-reu.html
https://www.mathprograms.org/db/programs/1403",2023/1/3
James Madison University,"Harrisonburg, VA",May 22,Jul 14,Feb 20,"Effects of Riparian Buffers to Maintain a Healthy Environment in Shenandoah Valley, Virginia; Some Invariants in Algebraic Graph Theory","https://www.jmu.edu/mathstat/reu/index.shtml
https://www.mathprograms.org/db/programs/1385",2022/11/9
"University of Tennessee, Knoxville (RECSEM)","Knoxville, TN",May 30,Aug 5,Feb 20,"The research projects are categorized in three interrelated areas of research interests: engineering applications, numerical mathematics, and linear algebraic software and tools",https://www.jics.utk.edu/recsem-reu,2022/10/31
Georgetown University,"Washington, DC",Jun 5,Aug 11,Feb 20,"Materials Physics (projects include ""Simulations of spatiotemporal dynamics"" and ""Theory and simulation of soft matter"")","https://physics.georgetown.edu/reu/
https://academicjobsonline.org/ajo/jobs/24088",2023/1/12
Clarkson University (MBioTS),"Potsdam, NY",May 22,Jul 28,Feb 22,"Mathematical biology, modeling combined with data collection, dynamical systems, statistics",https://www.clarkson.edu/mbiots-research-experience-undergraduates-reu,2023/1/11
Oregon State University,"Corvallis, OR",Jun 26,Aug 4,Feb 22,Number Theory -- partitions and modular forms,"https://math.oregonstate.edu/undergraduate/research/reu
https://www.mathprograms.org/db/programs/1377",2022/10/31
Virginia Commonwealth University (VCU),"Richmond, VA
(online)",May 30,Jul 21,Feb 24,Graph Theory and Lie Theory; Modeling Prevention of Neglected Tropical Diseases,https://math.vcu.edu/reu/,2022/10/31
Central Washington University,"Ellensburg, WA",Jun 22,Aug 18,Feb 25,The four numbers game; Utility theory; Mathematical modeling and data analysis of abnormal ovulation,https://www.cwu.edu/reu/CCREU,2022/10/31
Cornell University (SPUR),"Ithaca, NY",Jun 5,Jul 28,Feb 26,"Harnack bounds for heat equations; Data-driven dynamical systems; Graphs defined on groups; Coxeter combinatorics
Can take international students","https://math.cornell.edu/undergraduate-research
https://www.mathprograms.org/db/programs/1414",2022/10/31
Marquette University,"Milwaukee, WI",May 30,Aug 4,Feb 27,Data science across disciplines,https://reu.cs.mu.edu/index.php/Main_Page,2023/1/10
CSAFE,"Ames, IA",May 31,Aug 4,Feb 27,Statistics and applications in forensic evidence,https://forensicstats.org/reu/,2022/10/31
